,lon-round,lat-round
0,-114.0,49.0
63,-113.5,48.5
117,-113.0,48.0
167,-113.0,47.5
212,-112.5,47.0
307,-112.5,46.5
428,-112.5,46.0
593,-114.0,45.5
681,-113.5,45.0
808,-113.0,44.5
1374,-110.5,44.0
1487,-110.0,43.5
1593,-109.5,43.0
1689,-109.0,42.5
1803,-108.5,42.0
2013,-107.5,41.5
2413,-107.0,41.0
2530,-106.5,40.5
2732,-105.5,40.0
2821,-106.0,39.5
2979,-106.5,39.0
3086,-106.5,38.5
3199,-106.5,38.0
3377,-107.5,37.5
3580,-106.5,37.0
3651,-107.0,36.5
3688,-107.0,36.0
3753,-108.0,35.5
3815,-108.5,35.0
3866,-108.5,34.5
3930,-108.0,34.0
3985,-108.5,33.5
4112,-108.0,33.0
4182,-108.5,32.5
4224,-108.0,32.0
4323,-108.5,31.5
